solve_date_time,average,best_time,worst_time,comment
2019-09-03T12:00:00,00:05:05.740,00:02:22.645,,
2019-09-09T12:00:00,00:03:01.744,00:01:18.276,,
2019-09-10T12:00:00,00:01:42.105,00:01:11.675,,
2019-09-10T13:00:00,00:01:51.534,00:01:16.592,,
2019-09-11T12:00:00,00:01:52.791,00:01:09.141,,
2019-09-13T12:00:00,00:01:46.562,00:01:20.037,,
2019-09-13T13:00:00,00:01:41.129,00:01:03.624,,
2019-09-14T12:00:00,00:01:26.187,00:01:09.741,,
2019-09-16T12:00:00,00:01:46.928,00:01:28.055,,
2019-09-17T12:00:00,00:01:43.456,00:01:16.776,,
2019-09-18T12:00:00,00:01:30.252,00:01:03.091,,
2019-09-18T13:00:00,00:01:31.490,00:01:03.091,00:02:11.662,
2019-09-18T14:00:00,00:01:33.453,00:01:18.125,,
2019-09-19T12:00:00,00:01:25.030,00:01:01.841,00:02:08.680,
2019-09-20T12:00:00,00:01:32.444,00:01:14.458,00:02:05.447,
2019-09-22T12:00:00,00:01:22.922,00:00:55.023,00:02:26.348,
2019-09-23T12:00:00,00:01:19.231,00:00:59.487,00:02:09.563,Lil'Magic
2019-09-25T12:00:00,00:01:19.425,00:00:50.073,00:02:21.347,
2019-09-27T12:00:00,00:01:07.754,00:00:44.489,00:02:14.295,
2019-09-27T13:00:00,00:01:20.763,00:01:07.941,00:02:19.561,
2019-09-28T12:00:00,00:01:05.062,00:00:49.355,00:02:14.877,
2019-09-29T12:00:00,00:01:11.224,00:00:50.536,00:01:58.379,
